Livestock Python Executor;Python Executor;VER 0.0.1 | August 2017;Livestock;0 | Miscellaneous
Livestock SSH Connection;SSH Connection;VER 0.0.1 | August 2017;Livestock;0 | Miscellaneous
Livestock Mesh Drainage;Mesh Drainage;VER 0.0.1 | September 2017;Livestock;2 | Rain and Flow;Simulates drainage in order to analyse a mesh for local pooling of rain water.
Livestock Mesh Pools;Mesh Pools;VER 0.0.1 | August 2017;Livestock;2 | Rain and Flow;Calculates rain pools based on drainage paths
Livestock Update;Update;VER 0.0.1 | August 2017;Livestock;0 | Miscellaneous;Update Livestock
Livestock Simple Rain;Simple Rain;VER 0.0.1 | August 2017;Livestock;2 | Rain and Flow;Use this component to calculate the view vectors for a surface. The component takes in hourly weather datasets and calculates the view vector of the surface(s) in question. The view vector is used to determine if, and what hour of the year, the test point is hit by rain. The calculatin method is based on the paper: Ennis, B. J., & Litster, J. D. (1997). A Study of Driving Rain. Knowledge Creation Diffusion Utilization, 20�54.
Livestock Rebuild Mesh;ReMesh;VER 0.0.1 | August 2017;Livestock;1 | Geometry;Remesh the input mesh to remove degeneracies and improve triangle quality. The component uses the PyMesh script fix_mesh.py for this component.
Livestock Save Mesh;Save Mesh;VER 0.0.1 | August 2017;Livestock	1 | Geometry;Save a mesh with or without additional data
Livestock Load Mesh;Load Mesh;VER 0.0.1 | August 2017;Livestock;1 | Geometry;Load a mesh with or without additional data
Livestock Topological Index;Topological Index;VER 0.0.1 | September 2017;Livestock;2 | Rain and Flow;Computes the topological index of the mesh
Livestock Adaptive Clothing;Adaptive Clothing	VER 0.0.1 | September 2017;Livestock;3 | Comfort;Computes the clothing values
Livestock CMF Ground;CMF Ground;VER 0.0.1 | September 2017;Livestock;2 | Rain and Flow
Livestock CMF Weather;CMF Weather;VER 0.0.1 | September 2017;Livestock;2 | Rain and Flow
Livestock CMF Surface Properties;CMF Surface Properties;VER 0.0.1 | October 2017;Livestock;2 | Rain and Flow
Livestock CMF Solve;CMF Solve;VER 0.0.1 | October 2017;Livestock;2 | Rain and Flow
Livestock CMF Retention Curve;CMF Retention Curve;VER 0.0.1 | October 2017;Livestock;2 | Rain and Flow
Livestock CMF Outputs;CMF Outputs;VER 0.0.1 | October 2017;Livestock;2 | Rain and Flow
Livestock CMF Results;CMF Results;VER 0.0.1 | November 2017;Livestock;2 | Rain and Flow
Livestock Synthetic Tree;Synthetic Tree;VER 0.0.1 | November 2017;Livestock;3 | Vegetation
Livestock Stomatal Resistance; Stomatal Resistance; VER 0.0.1 | November 2017; Livestock;3 | Vegetation
Livestock Leaf Temperature; Leaf Temperature; VER 0.0.1 | November 2017; Livestock;3 | Vegetation
